語句,読み,意味,語源等解説,関連語,関連分野,難易度
look at,ルッ́ク ア́ット,〜を見る,look(見る)と at(〜に)の組み合わせ。視線を向ける基本的な句動詞。派生: look into(ルッ́クイントゥ): 調べる / look for(ルッ́クフォア): 探す,"see(スィ́ー): 見える, watch(ウォ́ッチ): 見る",言語基本,初級
look after,ルッ́ク ア́フター,〜の世話をする,look(見る)と after(後に)の組み合わせ。「後ろから見守る」というイメージから「世話をする」の意味に。派生: look out for(ルッ́クア́ウトフォア): 〜に注意する,"take care of(テ́イクケ́アオブ): 世話をする, care for(ケ́アフォア): 世話をする",日常生活,初級
look for,ルッ́ク フォ́ア,〜を探す,look(見る)と for(〜を求めて)の組み合わせ。何かを求めて見回すイメージ。派生: look around(ルッ́クアラ́ウンド): 見回す,"search for(サ́ーチフォア): 探す, seek(スィ́ーク): 探し求める",言語基本,初級
get up,ゲッ́ト ア́ップ,起きる,get(なる)と up(上に)の組み合わせ。ベッドから上がる動作を表す。対義語: go to bed(ゴ́ウトゥベ́ッド): 寝る,"wake up(ウェ́イクア́ップ): 目を覚ます, rise(ラ́イズ): 起き上がる",日常生活,初級
get on,ゲッ́ト オ́ン,乗る,get(なる)と on(〜の上に)の組み合わせ。乗り物の上に乗る動作。対義語: get off(ゲッ́トオ́フ): 降りる,"board(ボ́ード): 乗り込む, ride(ラ́イド): 乗る",場所・移動,初級
get off,ゲッ́ト オ́フ,降りる,get(なる)と off(離れて)の組み合わせ。乗り物から離れる動作。対義語: get on(ゲッ́トオ́ン): 乗る,"leave(リ́ーヴ): 去る, disembark(ディスエンバ́ーク): 降りる",場所・移動,初級
go to,ゴ́ウ トゥ,〜へ行く,go(行く)と to(〜へ)の基本的な組み合わせ。目的地への移動を表す。派生: go to school(ゴ́ウトゥスクール): 学校へ行く,"come to(カ́ムトゥ): 〜へ来る, head to(ヘ́ッドトゥ): 〜へ向かう",場所・移動,初級
come back,カ́ム バ́ック,戻る・帰る,come(来る)と back(後ろに)の組み合わせ。元の場所に戻ってくること。派生: come home(カ́ムホ́ウム): 家に帰る,"return(リタ́ーン): 戻る, go back(ゴ́ウバ́ック): 戻る",場所・移動,初級
take care of,テ́イク ケ́ア オヴ,〜の世話をする,take(取る)、care(注意)、of(〜の)の組み合わせ。注意を向けて世話をする。類似: look after(ルッ́クア́フター): 世話をする,"look after(ルッ́クア́フター): 世話をする, care for(ケ́アフォア): 世話をする",日常生活,初級
give up,ギ́ヴ ア́ップ,あきらめる,give(与える)と up(上に)の組み合わせ。「手を上に挙げて降参する」イメージから。対義語: keep trying(キ́ープトラ́イング): 挑戦し続ける,"quit(クウィ́ット): やめる, abandon(アバ́ンドン): 放棄する",人・社会,初級
