語句,読み,意味,語源等解説,関連語,関連分野,難易度
back down,バ́ック ダ́ウン,引き下がる・譲歩する,back(後ろへ)とdown(下へ)の組み合わせ。主張を取り下げるという意味。,"withdraw(ウィズドロ́ー): 撤回する, retreat(リトリ́ート): 退く",人・社会,中級
back out,バ́ック ア́ウト,約束を破る,back(後ろへ)とout(外へ)の組み合わせ。契約から手を引くという意味。,"withdraw from(ウィズドロ́ーフロム): 退く, renege(リネ́グ): 約束を破る",人・社会,中級
balance out,バ́ランス ア́ウト,釣り合いを取る,balance(均衡)とout(外へ)の組み合わせ。相殺するという意味。,"equalize(イ́ークォライズ): 均等にする, offset(オ́フセット): 相殺する",人・社会,中級
bank on,バ́ンク オ́ン,当てにする,bank(銀行)とon(〜の上に)の組み合わせ。信頼して頼るという意味。,"rely on(リラ́イオン): 頼る, count on(カ́ウントオン): 当てにする",人・社会,中級
bargain for,バ́ーゲン フォ́ー,予期する,bargain(取引)とfor(〜のために)の組み合わせ。交渉で見込むという意味。,"expect(イクスペ́クト): 予想する, anticipate(アンティ́シペイト): 予期する",人・社会,中級
bear out,ベ́ア ア́ウト,裏付ける,bear(支える)とout(外へ)の組み合わせ。証明するという意味。,"confirm(コンファ́ーム): 確認する, verify(ヴェ́リファイ): 検証する",学校・学習,中級
beef up,ビ́ーフ ア́ップ,強化する,beef(牛肉)とup(上へ)の組み合わせ。増強するという意味。,"strengthen(ストレ́ングスン): 強くする, reinforce(リインフォ́ース): 補強する",人・社会,中級
blow over,ブロ́ウ オ́ウヴァー,収まる・忘れられる,blow(吹く)とover(越えて)の組み合わせ。嵐が過ぎ去るという意味。,"pass(パ́ス): 過ぎる, subside(サブサ́イド): 鎮まる",時間・数量,中級
boil down to,ボ́イル ダ́ウン トゥ,要するに〜である,boil(沸騰する)、down(下へ)、to(〜へ)の組み合わせ。煮詰まって本質になるという意味。,"amount to(アマ́ウントトゥ): 結局〜になる, come down to(カ́ムダウントゥ): 帰着する",言語基本,中級
border on,ボ́ーダー オ́ン,接する・ほとんど〜に近い,border(境界)とon(〜の上に)の組み合わせ。境界線上にあるという意味。,"verge on(ヴァ́ージオン): 〜に近い, approach(アプロ́ウチ): 接近する",場所・移動,中級
break in,ブレ́イク イ́ン,侵入する・慣らす,break(壊す)とin(中へ)の組み合わせ。強制的に入るまたは新品を使い込むという意味。,"intrude(イントル́ード): 侵入する, train(トレ́イン): 訓練する",人・社会,中級
breathe in,ブリ́ーズ イ́ン,吸い込む,breathe(呼吸する)とin(中へ)の組み合わせ。息を吸うという意味。,"inhale(インヘ́イル): 吸入する, draw breath(ドロ́ーブレス): 息を吸う",日常生活,中級
brighten up,ブラ́イトゥン ア́ップ,明るくする・元気になる,brighten(明るくする)とup(上へ)の組み合わせ。輝かせるという意味。,"cheer up(チ́アアップ): 元気づける, illuminate(イル́ーミネイト): 照らす",人・社会,中級
brush aside,ブラ́ッシュ アサ́イド,無視する,brush(払う)とaside(脇へ)の組み合わせ。軽く扱うという意味。,"dismiss(ディスミ́ス): 却下する, disregard(ディスリガ́ード): 無視する",人・社会,中級
buckle down,バ́クル ダ́ウン,真剣に取り組む,buckle(留め金を締める)とdown(下へ)の組み合わせ。集中するという意味。,"apply oneself(アプラ́イワンセルフ): 専心する, work hard(ワ́ークハード): 一生懸命働く",学校・学習,中級
build on,ビ́ルド オ́ン,基礎にする・発展させる,build(建てる)とon(〜の上に)の組み合わせ。土台として利用するという意味。,"base on(ベ́イスオン): 基づく, develop from(ディヴェ́ラップフロム): 発展させる",学校・学習,中級
bump into,バ́ンプ イ́ントゥ,偶然会う,bump(ぶつかる)とinto(〜の中へ)の組み合わせ。予期せず遭遇するという意味。,"run into(ラ́ンイントゥ): 偶然出会う, encounter(インカ́ウンター): 遭遇する",場所・移動,中級
burn out,バ́ーン ア́ウト,燃え尽きる,burn(燃える)とout(外へ)の組み合わせ。完全に消耗するという意味。,"exhaust(イグゾ́ースト): 疲れ果てる, wear out(ウェアアウト): 使い果たす",人・社会,中級
butt in,バ́ット イ́ン,割り込む,butt(突く)とin(中へ)の組み合わせ。会話に干渉するという意味。,"interrupt(インタラ́プト): 遮る, intrude(イントル́ード): 邪魔する",言語基本,中級
center on,セ́ンター オ́ン,中心となる,center(中心)とon(〜の上に)の組み合わせ。焦点を当てるという意味。,"focus on(フォ́ウカスオン): 集中する, revolve around(リヴォ́ルヴアラウンド): 〜を軸にする",学校・学習,中級
check in,チェ́ック イ́ン,チェックインする,check(確認する)とin(中へ)の組み合わせ。到着を登録するという意味。,"register(レ́ジスター): 登録する, sign in(サ́インイン): サインインする",場所・移動,中級
check out,チェ́ック ア́ウト,チェックアウトする・調べる,check(確認する)とout(外へ)の組み合わせ。退室手続きをするまたは確認するという意味。,"leave(リ́ーヴ): 去る, investigate(インヴェ́スティゲイト): 調査する",場所・移動,中級
chew over,チュ́ー オ́ウヴァー,よく考える,chew(噛む)とover(越えて)の組み合わせ。じっくり検討するという意味。,"ponder(ポ́ンダー): 熟考する, mull over(マ́ルオウヴァー): じっくり考える",人・社会,中級
clamp down,クラ́ンプ ダ́ウン,厳しく取り締まる,clamp(締め具)とdown(下へ)の組み合わせ。規制を強化するという意味。,"crack down(クラ́ックダウン): 厳重取締する, suppress(サプレ́ス): 抑圧する",人・社会,中級
clear out,クリ́ア ア́ウト,立ち去る・片付ける,clear(片付ける)とout(外へ)の組み合わせ。空にするという意味。,"leave(リ́ーヴ): 去る, empty(エ́ンプティ): 空にする",場所・移動,中級
clear up,クリ́ア ア́ップ,晴れる・解決する,clear(晴れた)とup(上へ)の組み合わせ。明瞭にするという意味。,"become clear(ビカ́ムクリア): 晴れる, resolve(リゾ́ルヴ): 解決する",時間・数量,中級
clock in,クロ́ック イ́ン,出勤時刻を記録する,clock(時計)とin(中へ)の組み合わせ。タイムカードを押すという意味。,"punch in(パ́ンチイン): 打刻する, start work(スタートワ́ーク): 仕事を始める",人・社会,中級
close down,クロ́ウズ ダ́ウン,閉鎖する,close(閉じる)とdown(下へ)の組み合わせ。完全に閉めるという意味。,"shut down(シャ́ットダウン): 閉鎖する, cease operations(シ́ースオペレ́イションズ): 営業を停止する",人・社会,中級
clue in,クル́ー イ́ン,知らせる,clue(手がかり)とin(中へ)の組み合わせ。情報を与えるという意味。,"inform(インフォ́ーム): 知らせる, enlighten(インラ́イトゥン): 啓発する",言語基本,中級
come by,カ́ム バ́イ,立ち寄る・手に入れる,come(来る)とby(そばを)の組み合わせ。訪問するまたは獲得するという意味。,"visit(ヴィ́ジット): 訪れる, obtain(オブテ́イン): 得る",場所・移動,中級
come forward,カ́ム フォ́ーワード,名乗り出る,come(来る)とforward(前へ)の組み合わせ。進み出るという意味。,"volunteer(ヴォランティ́ア): 志願する, step forward(ステ́ップフォーワード): 前に出る",人・社会,中級
