語句,読み,意味,語源等解説,関連語,関連分野,難易度
put up with,プ́ット ア́ップ ウィズ,我慢する・耐える,put(置く)、up(上げて)、with(〜と)の組み合わせ。不快なことに耐えるという意味。,"tolerate(トー́ラレイト): 我慢する, endure(エンデュ́ア): 耐える",人・社会,中級
come up with,カ́ム ア́ップ ウィズ,思いつく・考え出す,come(来る)、up(上へ)、with(〜と)の組み合わせ。アイデアを生み出すという意味。,"think of(スィ́ンクオヴ): 考えつく, devise(ディヴァ́イズ): 考案する",学校・学習,中級
catch up with,キャ́ッチ ア́ップ ウィズ,〜に追いつく,catch(つかまえる)、up(上へ)、with(〜と)の組み合わせ。遅れを取り戻すという意味。,"overtake(オ́ウヴァーテイク): 追い越す, draw level with(ドロ́ーレヴェルウィズ): 同じレベルに達する",場所・移動,中級
do away with,ドゥ́ー アウェ́イ ウィズ,廃止する・取り除く,do(する)、away(離れて)、with(〜を)の組み合わせ。完全になくすという意味。,"abolish(アボ́リッシュ): 廃止する, eliminate(イリ́ミネイト): 除去する",人・社会,中級
make up for,メ́イク ア́ップ フォ́ー,埋め合わせをする,make(作る)、up(完全に)、for(〜のために)の組み合わせ。損失を補うという意味。,"compensate for(コ́ンペンセイトフォア): 補償する, offset(オ́フセット): 相殺する",人・社会,中級
look down on,ル́ック ダ́ウン オ́ン,見下す・軽蔑する,look(見る)、down(下に)、on(〜を)の組み合わせ。他者を軽視するという意味。,"despise(ディスパ́イズ): 軽蔑する, scorn(スコ́ーン): 見下す",人・社会,中級
look up to,ル́ック ア́ップ トゥ,尊敬する,look(見る)、up(上に)、to(〜を)の組み合わせ。他者を高く評価するという意味。,"admire(アドマ́イア): 称賛する, respect(リスペ́クト): 尊敬する",人・社会,中級
make fun of,メ́イク ファ́ン オヴ,〜をからかう,make(作る)、fun(楽しみ)、of(〜の)の組み合わせ。冗談の対象にするという意味。,"tease(ティ́ーズ): からかう, mock(マ́ック): あざける",人・社会,中級
in terms of,イン タ́ームズ オヴ,〜の観点から,in(〜において)、terms(用語)、of(〜の)の組み合わせ。特定の視点からという意味。,"with regard to(ウィズリガ́ードトゥ): 〜に関して, concerning(コンサ́ーニング): 〜について",言語基本,中級
by means of,バ́イ ミ́ーンズ オヴ,〜によって・〜を用いて,by(〜によって)、means(手段)、of(〜の)の組み合わせ。方法を示すという意味。,"through(スルー́): 〜を通じて, via(ヴァ́イア): 〜経由で",言語基本,中級
for the sake of,フォ́ー ザ セ́イク オヴ,〜のために,for(〜のために)、the sake(利益)、of(〜の)の組み合わせ。目的や利益のためという意味。,"for the benefit of(フォ́ーザベネフィットオヴ): 〜の利益のため, in the interest of(インザイ́ンタレストオヴ): 〜のために",人・社会,中級
on behalf of,オ́ン ビハ́ーフ オヴ,〜を代表して・〜のために,on(〜において)、behalf(利益)、of(〜の)の組み合わせ。代理としてという意味。,"representing(レプリゼ́ンティング): 代表して, in the name of(インザネ́イムオヴ): 〜の名において",人・社会,中級
in place of,イン プレ́イス オヴ,〜の代わりに,in(〜に)、place(場所)、of(〜の)の組み合わせ。代替として使うという意味。,"instead of(インステ́ッドオヴ): 〜の代わりに, as a substitute for(ア́ズアサブスティテュートフォア): 〜の代用として",言語基本,中級
in case of,イン ケ́イス オヴ,〜の場合には,in(〜において)、case(場合)、of(〜の)の組み合わせ。想定される状況を示す。,"in the event of(インザイヴェ́ントオヴ): 〜が起きた場合, if there is(イフゼ́アイズ): もし〜があれば",時間・数量,中級
by way of,バ́イ ウェ́イ オヴ,〜を経由して・〜として,by(〜によって)、way(道)、of(〜の)の組み合わせ。経路や手段を示すという意味。,"via(ヴァ́イア): 〜経由で, as a form of(ア́ズアフォームオヴ): 〜の形として",場所・移動,中級
on account of,オ́ン アカ́ウント オヴ,〜のために・〜が理由で,on(〜において)、account(理由)、of(〜の)の組み合わせ。原因を説明するという意味。,"because of(ビコ́ーズオヴ): 〜のため, due to(デュ́ートゥ): 〜のせいで",言語基本,中級
